item_id,statement_guid,property_id,wikidata_value,meta_wikidata_value,external_value,external_url,type
Q71244,,P570,1889-12-22T00:00:00Z,,1882,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q318352,,P570,1909-01-29T00:00:00Z,,1903,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q318352,,P570,1909-01-09T00:00:00Z,,1903,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q2178796,,P570,1934-02-27T00:00:00Z,,1909,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q2144563,,P570,1986-12-06T00:00:00Z,,1987,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q570353,,P570,1981-10-23T00:00:00Z,,1983,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q454568,,P570,1947-03-30T00:00:00Z,,1945,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q737913,,P570,1991-12-12T00:00:00Z,,1992,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q96752,,P570,1971-12-31T00:00:00Z,,1972,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q3760455,,P570,1903-01-01T00:00:00Z,,1902,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q551902,,P570,2007-10-31T00:00:00Z,,2001,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q433128,,P570,1952-10-19T00:00:00Z,,1954,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q20200747,,P570,1984-01-01T00:00:00Z,,1982,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q7377477,,P570,2002-04-24T00:00:00Z,,2001,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q18625761,,P570,1979-03-07T00:00:00Z,,1978,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q15446294,,P570,1892-01-01T00:00:00Z,,1893,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q18626560,,P570,1956-11-13T00:00:00Z,,1955,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q7506250,,P570,2003-01-01T00:00:00Z,,2001,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q5423300,,P570,1980-01-14T00:00:00Z,,1981,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q4303834,,P570,2001-01-01T00:00:00Z,,2024,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q461828,,P570,1940-11-26T00:00:00Z,,1941,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q1065673,,P570,1881-01-01T00:00:00Z,,1880,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q1507993,,P570,1968-03-05T00:00:00Z,,1986,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q175412,,P570,1980-11-26T00:00:00Z,,1981,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q175412,,P570,1980-05-27T00:00:00Z,,1981,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q156731,,P570,2021-07-18T00:00:00Z,,2022,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q2764040,,P570,1921-06-12T00:00:00Z,,1925,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q692098,,P570,1964-08-02T00:00:00Z,,1957,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q6554670,,P570,1960-01-01T00:00:00Z,,1964,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q2582246,,P570,1994-02-12T00:00:00Z,,1993,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q2581047,,P570,2021-04-25T00:00:00Z,,2020,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q12286231,,P570,1959-12-25T00:00:00Z,,1969,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q3777954,,P570,2022-11-07T00:00:00Z,,2008,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q3059832,,P570,1916-01-21T00:00:00Z,,1917,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q542741,,P570,2019-12-14T00:00:00Z,,2020,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q219634,,P570,1945-01-01T00:00:00Z,,1954,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q4959262,,P570,1986-01-01T00:00:00Z,,1983,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
Q3047169,,P570,1999-07-27T00:00:00Z,,1990,https://media.githubusercontent.com/media/MuseumofModernArt/collection/main/Artists.csv,statement
